cycle,time_ps,state,lambda_meso,lambda_threo,selected_probability,energy_selected_kj_mol,meso_signed_volume_nm3,threo_signed_volume_nm3,meso_improper_deg,threo_improper_deg,bias_increment
1,5.01,10,1.0,0.0,1.0,-157014.20098850198,-0.002162460644441552,0.0024663278360347292,29.695469376758062,32.67543074371653,5.0
2,5.02,10,1.0,0.0,1.0,-156988.25939462555,-0.0023913399506477343,0.0025118108385035207,30.946466308253378,34.5961446876282,5.0
3,5.03,10,1.0,0.0,1.0,-156983.77617992566,-0.002368973219524376,0.0021622811191032666,32.16112888093662,29.735043293229335,5.0
4,5.04,10,1.0,0.0,1.0,-157055.4085804003,-0.0021300668523226633,0.002260064141250188,29.241864857488633,30.322929981928436,5.0
5,5.05,10,1.0,0.0,1.0,-157006.79837870764,-0.0021110819541063255,0.00269940787843255,27.06523886481517,33.881590256044724,5.0
6,5.06,10,1.0,0.0,1.0,-157053.419548953,-0.002198253304837809,0.0026504806464131532,29.947488748413495,35.34757104568132,5.0
7,5.07,10,1.0,0.0,1.0,-156958.11492910073,-0.002421962636134687,0.002358930171453655,32.6814799769508,33.52816074460693,5.0
8,5.08,10,1.0,0.0,1.0,-157061.29065560605,-0.0024872953430100063,0.0024777762408339592,34.950904205032096,34.31825113347254,5.0
9,5.09,10,1.0,0.0,1.0,-157030.93430954748,-0.002184372437127266,0.0028297366092874974,31.359974521907944,35.56896917453701,5.0
10,5.1,10,1.0,0.0,1.0,-157080.82470331056,-0.0022668708090048794,0.0023836059967217065,31.45444489258077,28.63132085271334,5.0
11,5.11,10,1.0,0.0,1.0,-157030.27438520096,-0.0022139516481054504,0.002422578514153628,28.54884838181812,30.63320605638163,5.0
12,5.12,10,1.0,0.0,1.0,-157034.24298523902,-0.002457649360849079,0.002468668895149756,33.024377416317186,32.40438968247555,5.0
13,5.13,10,1.0,0.0,1.0,-157022.8092541382,-0.002503636441341709,0.002756845020755294,33.710527457421264,36.59427322060991,5.0
14,5.14,10,1.0,0.0,1.0,-157011.90328720352,-0.002190474277229927,0.002649522665301033,31.894238360825966,39.378100800798634,5.0
